location,bedrooms,bathrooms,toilets,area_sqm,type,price_naira
Harris Drive Vgc Lekki Phase 2 Lekki Lagos,4,4,5,,4 BEDROOM TERRACE,
Chevron Chevron Drive Lekki Lagos,4,4,5,,4 BEDROOM SEMI DETACHED DUPLEX,
Off Admiralty Way Lekki Phase 1 Lekki Lagos,2,2,3,,2 BEDROOM FLAT & APARTMENT,
Lekki Phase 1 Lagos,2,2,3,,2 BEDROOM FLAT & APARTMENT For Sale,
Ilasan Lekki Ilasan Lekki Lagos,2,2,3,,2 BEDROOM BLOCK OF FLATS,
Parkview Ikoyi Ikoyi Lagos,4,4,5,,4 BEDROOM HOUSE,
"Opposite Orchid Hospital, Lekki Phase 2 Lekki Phase 2 Lekki Lagos",1,1,1,,1 BEDROOM SHARED APARTMENT,
Secure Estate In Lekki Phase One Lekki Phase 1 Lekki Lagos,2,2,3,,2 BEDROOM BLOCK OF FLATS,
Ogidan Sangotedo Sangotedo Lagos,2,2,3,,2 BEDROOM FLAT & APARTMENT,
Obafemi Awolowo Way Ikeja Lagos,3,3,3,,3 BEDROOM BLOCK OF FLATS,
Banana Island Banana Island Ikoyi Lagos,5,5,6,,5 BEDROOM DUPLEX,
Central Lekki Phase One Lekki Phase 1 Lekki Lagos,4,4,5,,4 BEDROOM MAISONETTE,
Old Ikoyi Old Ikoyi Ikoyi Lagos,3,3,4,,3 BEDROOM BLOCK OF FLATS,
Chevron Lekki Chevron Drive Lekki Lagos,5,5,6,,5 BEDROOM DUPLEX,
Orchid Lekki Lekki Phase 2 Lekki Lagos,4,4,5,,4 BEDROOM SEMI DETACHED DUPLEX,
Central Ikoyi Ikoyi Lagos,3,3,4,,3 BEDROOM FLAT & APARTMENT,
Balogun Ikeja Lagos,3,3,3,,3 BEDROOM BLOCK OF FLATS,
Nike Art Gallery Lekki Phase 1 Lekki Lagos,3,3,4,,3 BEDROOM MAISONETTE,
Lekki Lagos,4,4,5,,4 BEDROOM TERRACED DUPLEX,
"Oral Estate, Lekki Phase 2 Lekki Phase 2 Lekki Lagos",5,5,6,,5 BEDROOM TERRACED DUPLEX,
Ikate Lekki Phase One Lekki Phase 1 Lekki Lagos,2,2,3,,2 BEDROOM SEMI DETACHED DUPLEX,
Orchid Road Lekki Lekki Phase 2 Lekki Lagos,4,4,5,,4 BEDROOM DUPLEX,
Osborne Phase One Osborne Foreshore Estate Ikoyi Lagos,5,5,6,,5 BEDROOM DUPLEX,
Ikate Lekki Phase One Lekki Phase 1 Lekki Lagos,2,2,3,,2 BEDROOM BLOCK OF FLATS,
Chisco Ikate Lekki Lekki Phase 1 Lekki Lagos,4,4,5,,4 BEDROOM DUPLEX,
Lekki Phase 1 Lagos,5,5,6,,5 BEDROOM SHARED APARTMENT For Sale,
