location,bedrooms,bathrooms,toilets,area_sqm,type,price_naira
Old Ikoyi Ikoyi Lagos,3,3,,,House FOR Rent,29999999/year
Banana Island Estate Banana Island Ikoyi Lagos,3,3,,,Flat Apartment FOR Rent,73500000/year
Banana Island Ikoyi Lagos,5,5,,,House FOR Rent,90000000/year
Old Ikoyi Old Ikoyi Ikoyi Lagos,3,3,,,Flat Apartment FOR Rent,24999999/year
Lekki Phase 1 Lekki Lagos,2,2,,,Flat / Apartment FOR RENT,12000000/year
Old Ikoyi Old Ikoyi Ikoyi Lagos,4,4,,,Flat Apartment FOR Rent,54999000/year
Old Ikoyi Ikoyi Lagos,3,3,,,Flat Apartment FOR Rent,48000000/year
Banana Island Estate Ikoyi Lagos,5,5,,,House FOR Rent,177000000/year
Old Ikoyi Ikoyi Lagos,3,3,,,House FOR Rent,35000000/year
Banana Island Ikoyi Lagos,3,3,,,Flat Apartment FOR Rent,50000000/year
Surulere Lagos,3,,,,Flat Apartment FOR Rent,6000000/year
Oke Ira Ogba Lagos,3,,,,Flat Apartment FOR Rent,5000000/year
Kilo Marsha Surulere Lagos,3,,,,Flat Apartment FOR Rent,5000000/year
Alaka Estate Surulere Lagos,3,,,,Flat Apartment FOR Rent,6000000/year
Wuse Zone 6 Wuse 1 Abuja,10,10,,,Commercial Property FOR SALE,15000000000
Omole Phase 2 Ojodu Lagos,5,,,,House FOR Rent,25000000/year
Allen Avenue Ikeja Lagos,9,,,,House FOR Rent,18000000/year
